feature_id,phylum,kingdom,annotation_molecular_species,annotation_class_verbatim,annotation_class_normalised,annotation_superclass,annotation_source,annotation_tier,annotation_level
A15_103642,Streptophyta,Viridiplantae,TG(34:4),TG,TG,Glycerolipids,LipidSearch,Bronze,3
A15_157450,Streptophyta,Viridiplantae,PC(31:1),PC,PC,Glycerophospholipids,LipidSearch,Bronze,3
A15_162632,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_169436,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_17691,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_18189,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_41745,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_164968,Pseudomonadota,Bacteria,,,,,none,Unidentified,0
A15_124738,Streptophyta,Viridiplantae,PEt(22:3_20:5),PEt,PEt,Glycerophospholipids,LipidSearch,Bronze,3
A15_133001,Streptophyta,Viridiplantae,PE(13:1_18:1),PE,PE,Glycerophospholipids,LipidSearch,Gold,4
A15_95554,Streptophyta,Viridiplantae,TG(9:0_6:0_16:1),TG,TG,Glycerolipids,LipidSearch,Bronze,3
A15_97372,Streptophyta,Viridiplantae,TG(9:0_6:0_16:1),TG,TG,Glycerolipids,LipidSearch,Bronze,3
A15_25725,Streptophyta,Viridiplantae,,DGTS,DGTS,Betaine lipids,MS2_diagnostic,Bronze,2
A15_20360,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_62972,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_6580,Pseudomonadota,Bacteria,,,,,none,Unidentified,0
A15_8189,Pseudomonadota,Bacteria,,,,,none,Unidentified,0
A15_107438,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_112979,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_162591,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_170014,Ascomycota,Fungi,TG(22:3_16:0)+O:(s),TG,TG,Glycerolipids,LipidSearch,Bronze,3
A15_42012,Basidiomycota,Fungi,,,,,none,Unidentified,0
A15_111895,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_109669,Streptophyta,Viridiplantae,LPC(24:1),LPC,LPC,Glycerophospholipids,LipidSearch,Bronze,3
A15_63622,Basidiomycota,Fungi,,,,,none,Unidentified,0
A15_126566,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_15948,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_164461,Streptophyta,Viridiplantae,PE(20:4_18:1),PE,PE,Glycerophospholipids,LipidSearch,Gold,4
A15_51177,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_215884,Streptophyta,Viridiplantae,DG(15:1_29:5),DG,DG,Glycerolipids,LipidSearch,Gold,4
A15_175216,Streptophyta,Viridiplantae,Cer(d18:1_16:0),Cer,Cer,Sphingolipids,LipidSearch,Gold,4
A15_109145,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_39661,Streptophyta,Viridiplantae,DG(4:0_19:2),DG,DG,Glycerolipids,LipidSearch,Bronze,3
