original_header,sample_name,kingdom,phylum,class,order,family,genus,species,batch,source_phylum,ncbi_phylum,taxonomy_scope,ecological_group,taxonomy_release
sample:OE21-4-F7POS,OE21-4-F7POS,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Auricularia,Auricularia nigricans,batch_02_OE21-4-POS,Basidiomycota,Basidiomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE21-4-F8POS,OE21-4-F8POS,Fungi,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Hericium,Hericium erinaceus,batch_02_OE21-4-POS,Basidiomycota,Basidiomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE21-4-F9POS,OE21-4-F9POS,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Grifolaceae,Grifola,Grifola Frondosa,batch_02_OE21-4-POS,Basidiomycota,Basidiomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE21-4-P1POS,OE21-4-P1POS,Plantae,Streptophyta,Bryopsida,Pottiales,Pottiaceae,Tortella,Tortella Tortuosa,batch_02_OE21-4-POS,Bryophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:OE21-4-P2POS,OE21-4-P2POS,Plantae,Streptophyta,Polytrichopsida,Polytrichales,Polytrichaceae,Artichum,Artichum Undulatum,batch_02_OE21-4-POS,Bryophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:OE21-4-P4POS,OE21-4-P4POS,Plantae,Streptophyta,Bryopsida,Hypnales,Hypnaceae,Hypnum,Hypnum cupressiforme,batch_02_OE21-4-POS,Bryophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:OE21-4-P5POS,OE21-4-P5POS,Plantae,Streptophyta,Marchantiopsida,Marchantiales,Marchantiaceae,Marchantia,Marchantia polymorpha,batch_02_OE21-4-POS,Marchantiophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:OE21-4-P6POS,OE21-4-P6POS,Plantae,Streptophyta,Jungermanniopsida,Lepidoziales,Lepidoziaceae,Bazzania,Bazzania trilobata,batch_02_OE21-4-POS,Marchantiophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:OE21-4-P7POS,OE21-4-P7POS,Plantae,Streptophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum magellanicum,batch_02_OE21-4-POS,Bryophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:OE21-4-P9POS,OE21-4-P9POS,Plantae,Streptophyta,Jungermanniopsida,Metzgeriales,Metygeriaceae,Metzgeria,Metzgeria conjugata,batch_02_OE21-4-POS,Marchantiophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:OE21-4-POOL1POS,OE21-4-POOL1POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE21-4-POOL2POS,OE21-4-POOL2POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE21-4-QC1POS,OE21-4-QC1POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE21-4-QC2POS,OE21-4-QC2POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE21-4-QC3POS,OE21-4-QC3POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE21-4-QC4POS,OE21-4-QC4POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE21-4-QC5POS,OE21-4-QC5POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE21-4-QC6POS,OE21-4-QC6POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE21-4-QC7POS,OE21-4-QC7POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
