original_header,sample_name,kingdom,phylum,class,order,family,genus,species,batch,source_phylum,ncbi_phylum,taxonomy_scope,ecological_group,taxonomy_release
sample:102891POS,102891POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:22POS,22POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:23POS,23POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:24A1-A2-A3POS,24A1-A2-A3POS,Protozoa,Evosea,Dictyostelia,Dictyosteliida,Dictyosteliidae,Dictyostelium discoideum QS1024_apo,,batch_05_OE25-1-ALL,Evosea,Evosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:24S3POS,24S3POS,Protozoa,Evosea,Dictyostelia,Dictyosteliida,Dictyosteliidae,Dictyostelium discoideum QS1024_sym,,batch_05_OE25-1-ALL,Evosea,Evosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:25S1-S2POS,25S1-S2POS,Protozoa,Evosea,Dictyostelia,Dictyosteliida,Dictyosteliidae,Dictyostelium discoideum QS1024_sym,,batch_05_OE25-1-ALL,Evosea,Evosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:27POS,27POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:68A1-A2-A3POS,68A1-A2-A3POS,Protozoa,Evosea,Dictyostelia,Dictyosteliida,Dictyosteliidae,Dictyostelium discoideum QS68_apo,,batch_05_OE25-1-ALL,Evosea,Evosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:68S1-S2-S3POS,68S1-S2-S3POS,Protozoa,Evosea,Dictyostelia,Dictyosteliida,Dictyosteliidae,Dictyostelium discoideum QS68_sym,,batch_05_OE25-1-ALL,Evosea,Evosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:ACNeff1POS,ACNeff1POS,Protozoa,Discosea,Discosea,Centramoebida,Acanthamoebidae,Acanthamoeba terricola,Acanthamoeba terricola Neff,batch_05_OE25-1-ALL,Discosea,Discosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:ACNeff234POS,ACNeff234POS,Protozoa,Discosea,Discosea,Centramoebida,Acanthamoebidae,Acanthamoeba terricola,Acanthamoeba terricola Neff,batch_05_OE25-1-ALL,Discosea,Discosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:ACNeffE25-123POS,ACNeffE25-123POS,Protozoa,Discosea,Discosea,Centramoebida,Acanthamoebidae,Acanthamoeba terricola,Acanthamoeba terricola Neff-E25,batch_05_OE25-1-ALL,Discosea,Discosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:B34POS,B34POS,Mixed,Mixed,,,,OE25B34POS.mzML,,batch_06_ALL-25-2,Mixed,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:BIGD-4BFL26POS,BIGD-4BFL26POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:BIGDo-4BFL26POS,BIGDo-4BFL26POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:BIGV3-POS,BIGV3-POS,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Bodo saltans virus,,batch_06_ALL-25-2,Nucleocytoviricota,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:Cafet-RC0970POS,Cafet-RC0970POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:Cafet-RCC970POS,Cafet-RCC970POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:CroVPOS,CroVPOS,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Cafeteria roenbergensis virus,,batch_06_ALL-25-2,Nucleocytoviricota,,descriptive_only,,ncbi-phylum-2026-08-04-v1
sample:DSM1988-2POS,DSM1988-2POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:DSM1988POS,DSM1988POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:EISTD1POS,EISTD1POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:HPPOS,HPPOS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:I5POS_20240925024318,I5POS_20240925024318,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,Armadillidium vulgare,batch_03_OE23-POS,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:I8POS,I8POS,Animalia,Mollusca,Gastropoda,Littorinimorpha,Pomatiidae,Pomatias,Pomatias elegans,batch_03_OE23-POS,Mollusca,Mollusca,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:I8POS_20240925010944,I8POS_20240925010944,Animalia,Mollusca,Gastropoda,Littorinimorpha,Pomatiidae,Pomatias,Pomatias elegans,batch_03_OE23-POS,Mollusca,Mollusca,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:I9POS,I9POS,Animalia,Arthropoda,Diplopoda,Glomerida,Glomeridae,Glomeris,Glomeris marginata,batch_03_OE23-POS,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:LHKa1POS,LHKa1POS,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella aerogenes,,batch_05_OE25-1-ALL,Pseudomonadota,Pseudomonadota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:LHKa2POS,LHKa2POS,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella aerogenes,,batch_05_OE25-1-ALL,Pseudomonadota,Pseudomonadota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:LHKa3POS,LHKa3POS,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella aerogenes,,batch_05_OE25-1-ALL,Pseudomonadota,Pseudomonadota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:Lu03POS_20240924172144,Lu03POS_20240924172144,Animalia,Arthropoda,arachnida,Sarcoptiformes,Galumnidae,Allogalumna,Allogalumna longipluma,batch_03_OE23-POS,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu04-2POS,Lu04-2POS,,,,,,,,batch_03_OE23-POS,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:Lu04POS_20240924110720,Lu04POS_20240924110720,Animalia,Arthropoda,Collembola,Entomobryomorpha,Orchesellidae,Heteromurus,Heteromurus nitidus,batch_03_OE23-POS,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu05POS,Lu05POS,Animalia,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Sinella,Sinella curviseta,batch_03_OE23-POS,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu07POS_20240924182408,Lu07POS_20240924182408,Animalia,Arthropoda,Collembola,Poduromorpha,Onychiuridae,Protaphorura,Protaphorura fimata,batch_03_OE23-POS,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu08POS,Lu08POS,Animalia,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Sinella,Sinella curviseta,batch_03_OE23-POS,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu11POS,Lu11POS,Animalia,Arthropoda,arachnida,Sarcoptiformes,Galumnidae,Allogalumna,Allogalumna longipluma,batch_03_OE23-POS,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu12POS,Lu12POS,Animalia,Arthropoda,Arachnida,Sarcoptiformes,Scheloribatidae,Scheloribates,unclassified,batch_03_OE23-POS,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu13POS,Lu13POS,Animalia,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Folsomia,Folsomia candida,batch_03_OE23-POS,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu16POS,Lu16POS,Animalia,Arthropoda,Collembola,Entomobryomorpha,Orchesellidae,Heteromurus,Heteromurus nitidus,batch_03_OE23-POS,Arthropoda,Arthropoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:Lu18POS,Lu18POS,Plantae,Streptophyta,Liliopsida,Poales,Poaceae,wheatgrass,wheatgrass (Grass),batch_03_OE23-POS,Tracheophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:Lu19POS,Lu19POS,Mixed,Cyanobacteriota,,,,lichen,lichen (Lichen),batch_03_OE23-POS,Cyanobacteriota,Cyanobacteriota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:Lu20POS_20240925014054,Lu20POS_20240925014054,,,,,,,,batch_03_OE23-POS,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:M303POS,M303POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:MCP28POS,MCP28POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:N-clarki-1POS,N-clarki-1POS,Protozoa,Heterolobosea,Heterolobosea,Schizopyrenida,Vahlkampfiidae,Naegleria,Naegleria clarki,batch_05_OE25-1-ALL,Heterolobosea,Heterolobosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:N1POS,N1POS,Animalia,Nematoda,Chromadorea,Rhabditida,Heterorhabditidae,Heterorhabditis,Heterorhabditis Sp,batch_03_OE23-POS,Nematoda,Nematoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:N2POS,N2POS,Animalia,Nematoda,Chromadorea,Rhabditida,Steinernematidae,Steinernema,Steinernema feltiae,batch_03_OE23-POS,Nematoda,Nematoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:N2POS_20240925051918,N2POS_20240925051918,Animalia,Nematoda,Chromadorea,Rhabditida,Steinernematidae,Steinernema,Steinernema feltiae,batch_03_OE23-POS,Nematoda,Nematoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:N3POS,N3POS,Animalia,Nematoda,Chromadorea,Rhabditida,Steinernematidae,Steinernema,Steinernema Carpocapsae,batch_03_OE23-POS,Nematoda,Nematoda,core_candidate,Animalia,ncbi-phylum-2026-08-04-v1
sample:NClarki2POS,NClarki2POS,Protozoa,Heterolobosea,Heterolobosea,Schizopyrenida,Vahlkampfiidae,Naegleria,Naegleria clarki,batch_05_OE25-1-ALL,Heterolobosea,Heterolobosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:NEH18POS,NEH18POS,,,,,,,,batch_06_ALL-25-2,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:Nkorea-1POS,Nkorea-1POS,Protozoa,Heterolobosea,Heterolobosea,Schizopyrenida,Vahlkampfiidae,Naegleria,Naegleria koreanum,batch_05_OE25-1-ALL,Heterolobosea,Heterolobosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:Nkorea2POS,Nkorea2POS,Protozoa,Heterolobosea,Heterolobosea,Schizopyrenida,Vahlkampfiidae,Naegleria,Naegleria koreanum,batch_05_OE25-1-ALL,Heterolobosea,Heterolobosea,core_candidate,Protists,ncbi-phylum-2026-08-04-v1
sample:OE11-3-E4-A1POS,OE11-3-E4-A1POS,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Nocardiaceae,Rhodococcus,unclassified,batch_01_OE11-3-POS,Actinomycetota,Actinomycetota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE11-3-E4-A4POS,OE11-3-E4-A4POS,Archaea,Methanobacteriota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax ,Haloferax volcanii,batch_01_OE11-3-POS,Halobacteriota,Methanobacteriota,core_candidate,Archaea,ncbi-phylum-2026-08-04-v1
sample:OE11-3-E4-B5POS,OE11-3-E4-B5POS,Bacteria,Actinomycetota,Actinobacteridae,Actinomycetales,Micrococcaceae,Arthrobacter,unclassified,batch_01_OE11-3-POS,Actinomycetota,Actinomycetota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE11-3-E4-F6POS,OE11-3-E4-F6POS,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus,Rhizopus Oligosporus,batch_01_OE11-3-POS,Mucoromycota,Mucoromycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE11-3-E4-P18POS,OE11-3-E4-P18POS,Plantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Petroelinum,Petroselinum crispum (leaves),batch_01_OE11-3-POS,Tracheophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:OE11-3-E4-P27POS,OE11-3-E4-P27POS,Plantae,Streptophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,Ginkgo biloba,batch_01_OE11-3-POS,Tracheophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
sample:OE11-3-E4-SRM1POS,OE11-3-E4-SRM1POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE11-3-E4-SRM1POS_20230211043148,OE11-3-E4-SRM1POS_20230211043148,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE11-3-E5-SRM2POS,OE11-3-E5-SRM2POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE11-3ISTD-1POS,OE11-3ISTD-1POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE11-3POOL-1COND1POS,OE11-3POOL-1COND1POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE11-3POOL-1COND2POS,OE11-3POOL-1COND2POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE11-3POOL-QC2POS,OE11-3POOL-QC2POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE11-3POOL-QC3POS,OE11-3POOL-QC3POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE11-3POOL-QC4POS,OE11-3POOL-QC4POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE11-3POOL-QC4POS_20230211084106,OE11-3POOL-QC4POS_20230211084106,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE11-3POOL-QC5POS,OE11-3POOL-QC5POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE11-3POOL-QC6POS,OE11-3POOL-QC6POS,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-A5POS,OE11-E4-A5POS,,,,,,,,batch_01_OE11-3-POS,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-A7POS,OE11-E4-A7POS,Archaea,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina spelaei,batch_01_OE11-3-POS,Methanobacteriota,Methanobacteriota,core_candidate,Archaea,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-B1POS,OE11-E4-B1POS,,,,,,,,batch_01_OE11-3-POS,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-B3POS,OE11-E4-B3POS,Archaea,Methanobacteriota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,Methanopyrus kandleri,batch_01_OE11-3-POS,Methanobacteriota,Methanobacteriota,core_candidate,Archaea,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-B4POS,OE11-E4-B4POS,Bacteria,Actinomycetota,Actinobacteridae,Actinomycetales,Streptosporangiaceae,Streptosporangium,Streptosporangium roseum,batch_01_OE11-3-POS,Actinomycetota,Actinomycetota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-B6POS,OE11-E4-B6POS,,,,,,,,batch_01_OE11-3-POS,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-F15POS,OE11-E4-F15POS,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita caserea,batch_01_OE11-3-POS,Basidiomycota,Basidiomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-F2POS,OE11-E4-F2POS,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Gliocladium,Gliocladium flavofuscum,batch_01_OE11-3-POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-F47POS,OE11-E4-F47POS,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor hiemalis,batch_01_OE11-3-POS,Mucoromycota,Mucoromycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-ISTD-2POS_20230212113007,OE11-E4-ISTD-2POS_20230212113007,,,,,,,,,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE11-E4-P11POS,OE11-E4-P11POS,Plantae,Streptophyta,Polypodiopsida,Equisetales,Equisetaceae,Equisetum,Equisetum arvense,batch_01_OE11-3-POS,Tracheophyta,Streptophyta,core_candidate,Viridiplantae,ncbi-phylum-2026-08-04-v1
