mode,row_phylum,column_phylum,row_group,column_group,pair_class,similarity,clipped_at_0_55
POS,Nematoda,Mollusca,Animalia,Animalia,Within group,0.213408600842101,False
POS,Actinomycetota,Nematoda,Bacteria,Animalia,Cross group,0.086282336079875,False
POS,Bacillota,Nematoda,Bacteria,Animalia,Cross group,0.060697714784769,False
POS,Pseudomonadota,Nematoda,Bacteria,Animalia,Cross group,0.079026880247523,False
POS,Methanobacteriota,Nematoda,Archaea,Animalia,Cross group,0.035337411210842,False
POS,Thermoproteota,Nematoda,Archaea,Animalia,Cross group,0.044091978518401,False
POS,Discosea,Nematoda,Protists,Animalia,Cross group,0.197560450795921,False
POS,Evosea,Nematoda,Protists,Animalia,Cross group,0.066573846453632,False
POS,Heterolobosea,Nematoda,Protists,Animalia,Cross group,0.055688711474184,False
POS,Mucoromycota,Nematoda,Fungi,Animalia,Cross group,0.043292818718572,False
POS,Ascomycota,Nematoda,Fungi,Animalia,Cross group,0.143133984573707,False
POS,Basidiomycota,Nematoda,Fungi,Animalia,Cross group,0.116023553455892,False
POS,Chlorophyta,Nematoda,Viridiplantae,Animalia,Cross group,0.060875418056787,False
POS,Streptophyta,Nematoda,Viridiplantae,Animalia,Cross group,0.100763853674137,False
POS,Arthropoda,Nematoda,Animalia,Animalia,Within group,0.223821158598818,False
POS,Mollusca,Nematoda,Animalia,Animalia,Within group,0.213408600842101,False
NEG,Bacillota,Actinomycetota,Bacteria,Bacteria,Within group,0.193216120681694,False
NEG,Pseudomonadota,Actinomycetota,Bacteria,Bacteria,Within group,0.05387830461387,False
NEG,Methanobacteriota,Actinomycetota,Archaea,Bacteria,Cross group,0.016870561123289,False
NEG,Thermoproteota,Actinomycetota,Archaea,Bacteria,Cross group,0.005730373666821,False
NEG,Discosea,Actinomycetota,Protists,Bacteria,Cross group,0.037080090408422,False
NEG,Evosea,Actinomycetota,Protists,Bacteria,Cross group,0.021898037245371,False
NEG,Heterolobosea,Actinomycetota,Protists,Bacteria,Cross group,0.052422350066721,False
NEG,Mucoromycota,Actinomycetota,Fungi,Bacteria,Cross group,0.086116640615797,False
NEG,Ascomycota,Actinomycetota,Fungi,Bacteria,Cross group,0.138501994168608,False
NEG,Basidiomycota,Actinomycetota,Fungi,Bacteria,Cross group,0.059825073715716,False
NEG,Chlorophyta,Actinomycetota,Viridiplantae,Bacteria,Cross group,0.040063414714493,False
