mode,phylum_1,phylum_2,evolutionary_distance,lipid_distance,batch_overlap_jaccard,n_samples_mode,n_samples_phylum_1,n_samples_phylum_2,group_1,group_2,pair_class
NEG,Heterolobosea,Mollusca,1.34119527548682,0.994432651929918,0.0,192,2,2,Protists,Animalia,Cross group
NEG,Methanobacteriota,Mollusca,3.01133300865746,0.983056447729626,0.0,192,17,2,Archaea,Animalia,Cross group
NEG,Actinomycetota,Mucoromycota,3.5025990876342,0.913883359384203,0.5,192,19,7,Bacteria,Fungi,Cross group
NEG,Arthropoda,Mucoromycota,1.06086187338381,0.935032906471129,0.0,192,22,7,Animalia,Fungi,Cross group
NEG,Ascomycota,Mucoromycota,0.472863478408281,0.759951903802471,0.4,192,32,7,Fungi,Fungi,Within group
NEG,Bacillota,Mucoromycota,3.50844673932222,0.993306537757906,0.0,192,28,7,Bacteria,Fungi,Cross group
NEG,Basidiomycota,Mucoromycota,0.483355716341248,0.881331917433462,0.666666666666667,192,11,7,Fungi,Fungi,Within group
NEG,Chlorophyta,Mucoromycota,1.7067073962608,0.968608274238389,0.0,192,10,7,Viridiplantae,Fungi,Cross group
NEG,Discosea,Mucoromycota,0.575832353406478,0.887501336417601,0.333333333333333,192,6,7,Protists,Fungi,Cross group
NEG,Evosea,Mucoromycota,0.906709306737243,0.947234703955439,0.0,192,5,7,Protists,Fungi,Cross group
NEG,Heterolobosea,Mucoromycota,1.45505493803068,0.792989321040105,0.5,192,2,7,Protists,Fungi,Cross group
NEG,Methanobacteriota,Mucoromycota,3.12519267120131,0.982993585959381,0.666666666666667,192,17,7,Archaea,Fungi,Cross group
NEG,Mollusca,Mucoromycota,0.639474073399795,0.953161860664535,0.0,192,2,7,Animalia,Fungi,Cross group
NEG,Actinomycetota,Nematoda,3.79324570112608,0.929342135328053,0.0,192,19,3,Bacteria,Animalia,Cross group
NEG,Arthropoda,Nematoda,1.00676376999206,0.791545803622721,1.0,192,22,3,Animalia,Animalia,Within group
NEG,Ascomycota,Nematoda,0.920362336421586,0.85789834448795,0.2,192,32,3,Fungi,Animalia,Cross group
NEG,Bacillota,Nematoda,3.7990933528141,0.939000286191013,0.0,192,28,3,Bacteria,Animalia,Cross group
NEG,Basidiomycota,Nematoda,0.919441828573771,0.884530003761346,0.0,192,11,3,Fungi,Animalia,Cross group
NEG,Chlorophyta,Nematoda,2.06525209462907,0.914525947134039,1.0,192,10,3,Viridiplantae,Animalia,Cross group
NEG,Discosea,Nematoda,0.979642441692349,0.837276465031286,0.0,192,6,3,Protists,Animalia,Cross group
NEG,Evosea,Nematoda,1.19735592022912,0.909767587162814,0.0,192,5,3,Protists,Animalia,Cross group
NEG,Heterolobosea,Nematoda,1.74570155152255,0.993206363475475,0.0,192,2,3,Protists,Animalia,Cross group
NEG,Methanobacteriota,Nematoda,3.41583928469319,0.988119584146222,0.0,192,17,3,Archaea,Animalia,Cross group
NEG,Mollusca,Nematoda,0.64955745224029,0.783083651626062,1.0,192,2,3,Animalia,Animalia,Within group
NEG,Mucoromycota,Nematoda,1.04398034943552,0.932181591485111,0.0,192,7,3,Fungi,Animalia,Cross group
NEG,Actinomycetota,Pseudomonadota,1.13634019476201,0.94612169538613,0.4,192,19,8,Bacteria,Bacteria,Within group
NEG,Arthropoda,Pseudomonadota,3.55986102634779,0.927558978751897,0.0,192,22,8,Animalia,Bacteria,Cross group
NEG,Ascomycota,Pseudomonadota,3.67733346356324,0.923082148719782,0.333333333333333,192,32,8,Fungi,Bacteria,Cross group
NEG,Bacillota,Pseudomonadota,0.977488045945393,0.953474444229797,0.25,192,28,8,Bacteria,Bacteria,Within group
NEG,Basidiomycota,Pseudomonadota,3.67641295571542,0.95889393894061,0.2,192,11,8,Fungi,Bacteria,Cross group
NEG,Chlorophyta,Pseudomonadota,3.0601662733413,0.953418413732442,0.0,192,10,8,Viridiplantae,Bacteria,Cross group
NEG,Discosea,Pseudomonadota,3.736613568834,0.945121562541145,0.666666666666667,192,6,8,Protists,Bacteria,Cross group
NEG,Evosea,Pseudomonadota,3.8244561133768,0.927874596263071,0.333333333333333,192,5,8,Protists,Bacteria,Cross group
NEG,Heterolobosea,Pseudomonadota,3.77926173970632,0.959292016712386,0.333333333333333,192,2,8,Protists,Bacteria,Cross group
NEG,Methanobacteriota,Pseudomonadota,2.29594876252225,0.984793422739959,0.2,192,17,8,Archaea,Bacteria,Cross group
NEG,Mollusca,Pseudomonadota,3.68709181403332,0.965596383184467,0.0,192,2,8,Animalia,Bacteria,Cross group
NEG,Mucoromycota,Pseudomonadota,3.80095147657718,0.965596735260973,0.25,192,7,8,Fungi,Bacteria,Cross group
NEG,Nematoda,Pseudomonadota,4.09159809006905,0.902182359935245,0.0,192,3,8,Animalia,Bacteria,Cross group
NEG,Actinomycetota,Streptophyta,2.87609549040029,0.933939555499219,0.6,192,19,16,Bacteria,Viridiplantae,Cross group
NEG,Arthropoda,Streptophyta,1.70895147137602,0.866926347122781,0.25,192,22,16,Animalia,Viridiplantae,Cross group
NEG,Ascomycota,Streptophyta,1.33760677450411,0.84570253404294,0.8,192,32,16,Fungi,Viridiplantae,Cross group
NEG,Bacillota,Streptophyta,2.83880748005138,0.979092742695137,0.5,192,28,16,Bacteria,Viridiplantae,Cross group
NEG,Basidiomycota,Streptophyta,1.34188531268128,0.799242941285454,0.4,192,11,16,Fungi,Viridiplantae,Cross group
NEG,Chlorophyta,Streptophyta,1.9232945095541,0.725151815886337,0.25,192,10,16,Viridiplantae,Viridiplantae,Within group
NEG,Discosea,Streptophyta,1.31551112385189,0.952524917606691,0.0,192,6,16,Protists,Viridiplantae,Cross group
NEG,Evosea,Streptophyta,1.66411196413736,0.957394721060228,0.0,192,5,16,Protists,Viridiplantae,Cross group
NEG,Heterolobosea,Streptophyta,2.05700664174977,0.992771125163802,0.0,192,2,16,Protists,Viridiplantae,Cross group
NEG,Methanobacteriota,Streptophyta,2.90124061744656,0.982157205688554,0.4,192,17,16,Archaea,Viridiplantae,Cross group
NEG,Mollusca,Streptophyta,1.43089054684596,0.860702660856729,0.25,192,2,16,Animalia,Viridiplantae,Cross group
NEG,Mucoromycota,Streptophyta,1.46122478751805,0.923236458583672,0.2,192,7,16,Fungi,Viridiplantae,Cross group
NEG,Nematoda,Streptophyta,1.83539682288169,0.904776609516918,0.25,192,3,16,Animalia,Viridiplantae,Cross group
NEG,Pseudomonadota,Streptophyta,3.03345535663715,0.939282765446612,0.166666666666667,192,8,16,Bacteria,Viridiplantae,Cross group
NEG,Actinomycetota,Thermoproteota,1.75668822697818,0.994269626333179,0.25,192,19,4,Bacteria,Archaea,Cross group
NEG,Arthropoda,Thermoproteota,2.83937069392104,0.997258452830405,0.0,192,22,4,Animalia,Archaea,Cross group
