feature_id,phylum,kingdom,annotation_molecular_species,annotation_class_verbatim,annotation_class_normalised,annotation_superclass,annotation_source_pre_release,annotation_tier_pre_release,annotation_level_pre_release,annotation_tier,annotation_source,annotation_level,family_propagation_applied,rt_uncertain_any,archlips_rt_excluded,release_exclusion_reason,discovery_method,partition,has_usable_ms2,has_sirius_formula,sirius_formula_provenance,sirius_molecular_formula,sirius_adduct,sirius_score_normalized,has_canopus_class,canopus_provenance,NPC#pathway,NPC#superclass,NPC#class,ClassyFire#most specific class,has_csi_fingerid_structure,has_denovo_structure,has_dreams_result,dreams_provenance,DreaMS_similarity,ref_msv_id,ref_msv_species_resolved,ref_name,ref_smiles,in_strict_ms2lda_model,external_evidence_depth,annotation_release_status
A15_20173,Bacillota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,retained_exact,True,False,none,,,,False,none,,,,,False,False,False,none,,,,,,True,ms2lda_model_only,unidentified
A15_201734,Streptophyta,Viridiplantae,,Ceramide,Ceramide,Sphingolipids,MS2_diagnostic,Bronze,2,Bronze,MS2_diagnostic,2,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.7468193,MSV000082953,built environment,P1_D5,,True,dreams_neighbour_only,eligible
A15_201847,Streptophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.8568337,MSV000078568,Cyanobacteria,1626_007C9_RC9_01_13136,,True,dreams_neighbour_only,unidentified
A15_201848,Streptophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.7889948,MSV000087800,Homo sapiens (NCBITaxon:9606),200306_CellLine_024_HEK_B3,,True,dreams_neighbour_only,unidentified
A15_201911,Streptophyta,Viridiplantae,TG(17:2_19:0_16:3)+OO:(s),TG,TG,Glycerolipids,LipidSearch,Gold,4,Gold,LipidSearch,4,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.75215316,MSV000087944,Homo sapiens (NCBITaxon:9606),PNACIC_SARS2plasmid_NSP4_A05_R1__Pos_09Jun20_Brandi-WCSH115315,,True,dreams_neighbour_only,eligible
A15_201919,Streptophyta,Viridiplantae,TG(16:0_18:3_18:3)+O:(s),TG,TG,Glycerolipids,LipidSearch,Gold,4,Gold,LipidSearch,4,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.8184259,MSV000080167,Homo sapiens,P2F02,,True,dreams_neighbour_only,eligible
A15_20192,Chlorophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.7369276,MSV000086209,Bacteria (NCBITaxon:2),20160906_pgk965_SloanSurfaceProject_Metabolomics_7-5,,True,dreams_neighbour_only,unidentified
A15_201931,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2,Bronze,MS2_diagnostic,2,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C37H66O4,[M + H]+,0.976,True,fresh_new_or_changed,Fatty acids,Glycerolipids,Diacylglycerols,"1,2-diacylglycerols",True,True,True,fresh_new_or_changed,0.84135544,MSV000082962,Citrus sinensis,11-20-5_16_RD10_01_30864,,True,csi_fingerid_structure_candidate,eligible
A15_20200,Basidiomycota,Fungi,LPE(16:1),LPE,LPE,Glycerophospholipids,LipidSearch,Gold,4,Gold,LipidSearch,4,False,False,False,,indval_consensus,retained_exact,True,False,none,,,,False,none,,,,,False,False,False,none,,,,,,True,ms2lda_model_only,eligible
A15_20208,Streptophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C22H36N2O5,[M + H]+,0.958,True,fresh_new_or_changed,Amino acids and Peptides,Fatty amides,N-acyl amines,N-acyl-alpha amino acids and derivatives,True,True,True,fresh_new_or_changed,0.81589365,MSV000082608,C57BL/6N,81730,,True,csi_fingerid_structure_candidate,unidentified
A15_202113,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2,Bronze,MS2_diagnostic,2,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C53H80O3,[M + H]+,0.874,True,fresh_new_or_changed,Terpenoids,Meroterpenoids,Prenyl quinone meroterpenoids,Quinone and hydroquinone lipids,True,True,True,fresh_new_or_changed,0.6864394,MSV000078830,Pseudomonas aeruginosa PA14,PA14_EM_6-1_A-11_P1-A-11_01_4600,,True,csi_fingerid_structure_candidate,eligible
A15_202170,Streptophyta,Viridiplantae,Cer(d16:1_22:2),Cer,Cer,Sphingolipids,LipidSearch,Gold,4,Gold,LipidSearch,4,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C38H71NO3,[M + H]+,0.998,True,fresh_new_or_changed,Fatty acids,Spingolipids,Ceramides,Long-chain ceramides,True,True,True,fresh_new_or_changed,0.77273756,MSV000081981,Homo sapiens,000020680_RG12_01_5527,,True,csi_fingerid_structure_candidate,eligible
A15_202176,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2,Bronze,MS2_diagnostic,2,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.8071061,MSV000083665,Mus musculus (NCBITaxon:10090),2nd_m24B_pos_P2_C2_BothExt,,True,dreams_neighbour_only,eligible
A15_202183,Streptophyta,Viridiplantae,,Ceramide,Ceramide,Sphingolipids,MS2_diagnostic,Bronze,2,Bronze,MS2_diagnostic,2,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.83677304,MSV000080183,Mus musculus,47-F-07,,True,dreams_neighbour_only,eligible
A15_202212,Chlorophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.8194936,MSV000085852,environmental samples <Bacillariophyta> (NCBITaxon:33858),CCE2019_149,,True,dreams_neighbour_only,unidentified
A15_202245,Actinomycetota,Bacteria,SM(d40:2),SM,SM,Sphingolipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,retained_exact,True,False,none,,,,False,none,,,,,False,False,False,none,,,,,,True,ms2lda_model_only,eligible
A15_20226,Streptophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C26H41NO16,[M + H]+,0.607,True,fresh_new_or_changed,Carbohydrates,Saccharides,Polysaccharides,Aminocyclitol glycosides,True,True,True,fresh_new_or_changed,0.68532604,MSV000086744,Escherichia coli (NCBITaxon:562),nissle-DA_chelomicsZn_2,,True,csi_fingerid_structure_candidate,unidentified
A15_202314,Streptophyta,Viridiplantae,TG(49:16_18:3),TG,TG,Glycerolipids,LipidSearch,Gold,4,Gold,LipidSearch,4,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.81377697,MSV000083083,Rattus,00077E7C3B,,True,dreams_neighbour_only,eligible
A15_202324,Streptophyta,Viridiplantae,DG(O-15:2_24:1),DG,DG,Glycerolipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C42H81NO4,[M + H]+,1.0,True,fresh_new_or_changed,Fatty acids,Fatty amides,N-acyl amines,N-acyl amines,True,True,True,fresh_new_or_changed,0.7584081,MSV000084322,Homo sapiens,Plate6_61360_Skin_GF3_01_26781,,True,csi_fingerid_structure_candidate,eligible
A15_202450,Streptophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.90715146,MSV000079772,Homo sapiens,A02_Soil_2012_016_2_C,,True,dreams_neighbour_only,unidentified
A15_202474,Streptophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.7789991,MSV000084008,Homo sapiens,DM002_1_300_RH5_01_43815,,True,dreams_neighbour_only,unidentified
A15_202493,Streptophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.79259294,MSV000082608,C57BL/6N,81725,,True,dreams_neighbour_only,unidentified
A15_202501,Nematoda,Animalia,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2,Bronze,MS2_diagnostic,2,False,False,False,,composite,new_or_changed,True,True,fresh_new_or_changed,C33H67NO4,[M + H]+,1.0,True,fresh_new_or_changed,Fatty acids,Fatty esters,Wax monoesters,Alpha amino acids and derivatives,True,True,True,fresh_new_or_changed,0.84361684,MSV000080183,Mus musculus,45-F-05,,True,csi_fingerid_structure_candidate,eligible
A15_202534,Streptophyta,Viridiplantae,PC(35:1),PC,PC,Glycerophospholipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,retained_exact,True,False,none,,,,False,none,,,,,False,False,False,none,,,,,,True,ms2lda_model_only,eligible
A15_202558,Bacillota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,retained_exact,True,False,none,,,,False,none,,,,,False,False,False,none,,,,,,True,ms2lda_model_only,unidentified
A15_202560,Chlorophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,False,none,,,,,,True,ms2lda_model_only,unidentified
A15_202571,Bacillota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,retained_exact,True,False,none,,,,False,none,,,,,False,False,False,none,,,,,,True,ms2lda_model_only,unidentified
A15_202619,Streptophyta,Viridiplantae,TG(39:6_13:0)+O:(s),TG,TG,Glycerolipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,new_or_changed,False,False,none,,,,False,none,,,,,False,False,False,none,,,,,,False,existing_annotation_only,eligible
A15_202651,Streptophyta,Viridiplantae,TG(27:1_22:5)+O:(s),TG,TG,Glycerolipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C52H91NO7,[M + H]+,0.9,True,fresh_new_or_changed,Fatty acids,Spingolipids,Neutral glycosphingolipids,Glycosyl-N-acylsphingosines,True,True,True,fresh_new_or_changed,0.73913765,MSV000088324,Homo sapiens (NCBITaxon:9606),Pos_NC102,,True,csi_fingerid_structure_candidate,eligible
