feature_id,phylum,kingdom,annotation_molecular_species,annotation_class_verbatim,annotation_class_normalised,annotation_superclass,annotation_source_pre_release,annotation_tier_pre_release,annotation_level_pre_release,annotation_tier,annotation_source,annotation_level,family_propagation_applied,rt_uncertain_any,archlips_rt_excluded,release_exclusion_reason,discovery_method,partition,has_usable_ms2,has_sirius_formula,sirius_formula_provenance,sirius_molecular_formula,sirius_adduct,sirius_score_normalized,has_canopus_class,canopus_provenance,NPC#pathway,NPC#superclass,NPC#class,ClassyFire#most specific class,has_csi_fingerid_structure,has_denovo_structure,has_dreams_result,dreams_provenance,DreaMS_similarity,ref_msv_id,ref_msv_species_resolved,ref_name,ref_smiles,in_strict_ms2lda_model,external_evidence_depth,annotation_release_status
NEG_109823,Bacillota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.77677643,MSV000087942,Homo sapiens (NCBITaxon:9606),Tube_001,,False,dreams_neighbour_only,unidentified
NEG_109866,Evosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.7578223,MSV000087745,Dictyotales (NCBITaxon:2873),ID232MSMS_RC3_01_18158_modified,,True,dreams_neighbour_only,unidentified
NEG_109868,Heterolobosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.8979197,MSV000087800,Homo sapiens (NCBITaxon:9606),20190828_067_Uc_5,,True,dreams_neighbour_only,unidentified
NEG_109882,Bacillota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.8309995,MSV000083302,Mus musculus,S159_RE8_01_40410,,True,dreams_neighbour_only,unidentified
NEG_109889,Evosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.76374906,MSV000081326,Mus musculus,A8_60_01_m_RG1_01_37136,,True,dreams_neighbour_only,unidentified
NEG_109918,Evosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.8133844,MSV000083593,Homo sapiens,Plate_01_BG5_01_21500,,True,dreams_neighbour_only,unidentified
NEG_109972,Evosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.72081554,MSV000087800,Homo sapiens (NCBITaxon:9606),200306_CellLine_049_Hep_B2,,True,dreams_neighbour_only,unidentified
NEG_109993,Evosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.7688867,MSV000080397,Homo sapiens,272_NT7_GF7_01_31787,,True,dreams_neighbour_only,unidentified
NEG_11005,Evosea,Protozoa,LPE(P-15:0),LPE,LPE,Glycerophospholipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,composite,new_or_changed,True,True,fresh_new_or_changed,C20H42NO6P,[M - H]-,1.0,True,fresh_new_or_changed,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines,Amino acids and derivatives,True,True,True,fresh_new_or_changed,0.72674334,MSV000083080,Trachymyrmex septentrionalis,TS_J1884_FG01_S12_R2_GB12_01_16229,,True,csi_fingerid_structure_candidate,eligible
NEG_110072,Bacillota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.78713894,MSV000082869,Homo sapiens,95552_R-A6,,True,dreams_neighbour_only,unidentified
NEG_110096,Heterolobosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.7501709,MSV000083083,Rattus,00077E9818,,False,dreams_neighbour_only,unidentified
NEG_110123,Pseudomonadota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.7567163,MSV000081810,chemical compounds,20151016_pHILIC___POS_MSMS_KZ_RootCass_5_MeOH_2ul____Run72,,True,dreams_neighbour_only,unidentified
NEG_110135,Heterolobosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.70055735,MSV000084322,Homo sapiens,Plate6_61614_Skin_Rerun_GD10_01_26902,,True,dreams_neighbour_only,unidentified
NEG_110154,Bacillota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.7704964,MSV000087800,Homo sapiens (NCBITaxon:9606),20181005_61_PCCA_P2,,True,dreams_neighbour_only,unidentified
NEG_110223,Nematoda,Animalia,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.7521356,MSV000087449,Tunicata (NCBITaxon:7712),18-SPE-38A,,True,dreams_neighbour_only,unidentified
NEG_110240,Nematoda,Animalia,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.7556193,MSV000082616,Mice,GIMap_P2_LI_Aq-Org_Mixed_H2,,True,dreams_neighbour_only,unidentified
NEG_110257,Bacillota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.7741902,MSV000083002,Alternaria,Vicky3-c7-PenicilliumB6A,,False,dreams_neighbour_only,unidentified
NEG_110259,Bacillota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.77086633,MSV000088371,Homo sapiens (NCBITaxon:9606),FEP2020_2,,True,dreams_neighbour_only,unidentified
NEG_11026,Mollusca,Animalia,,PS,PS,Glycerophospholipids,MS2_diagnostic,Bronze,2,Bronze,MS2_diagnostic,2,False,False,False,,composite,retained_exact,True,True,exact_retained_cache,C21H46NO5P,[M - H]-,1.0,True,exact_retained_cache,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophosphoethanolamines",True,False,True,exact_retained_cache,0.72598654,MSV000082493,Homo sapiens,DM014_1_300_RG1_01_44001,,True,csi_fingerid_structure_candidate,eligible
