formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C32H70N4O12	[M + H]+	C32H71N4O12+		0.583	92.144	92.144	0.000	36	0.771	1.909	3.150	1.980		703.508	547	9.118	875370611393059061	875367014362097465	875367014362097464	A15_91830	
1	C30H46O	[M + H]+	C30H47O+		1.000	208.978	208.978	0.000	51	0.943	1.498	2.056	-2.125		423.361	549	9.156	875371008270690906	875355549810165840	875355549810165839	A15_95302	
1	C30H46O	[M + H]+	C30H47O+		1.000	208.978	208.978	0.000	51	0.943	1.498	2.056	-2.125		423.361	549	9.156	875371036036983587	875367014672476029	875367014672476028	A15_95302	
1	C41H68O4	[M + K]+	C41H68KO4+		0.938	11.784	11.784	0.000	2	0.104	0.784	2.183	6.166		663.479	550	9.170	875371039006550840	875355549730474052	875355549730474051	A15_94305	
1	C41H68O4	[M + K]+	C41H68KO4+		0.938	11.784	11.784	0.000	2	0.104	0.784	2.183	6.166		663.479	550	9.170	875370577255618632	875367014617950065	875367014617950064	A15_94305	
1	C25H46O4	[M + H]+	C25H47O4+		1.000	166.793	166.793	0.000	29	0.858	3.997	3.997	-2.264		411.346	550	9.171	875370614660421979	875355549608839216	875355549608839215	A15_93353	
1	C25H46O4	[M + H]+	C25H47O4+		1.000	166.793	166.793	0.000	29	0.858	3.997	3.997	-2.264		411.346	550	9.171	875370618095556977	875367014529869661	875367014525675356	A15_93353	
1	C27H48N2O6	[M + H]+	C27H49N2O6+		1.000	124.888	124.888	0.000	30	0.696	4.718	4.718	4.647		497.361	550	9.172	875371063866190855	875355549583673388	875355549583673387	A15_93335	
1	C27H48N2O6	[M + H]+	C27H49N2O6+		1.000	124.888	124.888	0.000	30	0.696	4.718	4.718	4.647		497.361	550	9.172	875370821288616111	875367014508898137	875367014508898136	A15_93335	
1	C53H81NO3	[M + K]+	C53H81KNO3+		0.210	20.647	20.647	0.000	7	0.850	1.135	1.135	3.250		818.587	553	9.220	875371145890000679	875355549835331668	875355549835331667	A15_95532	
1	C53H81NO3	[M + K]+	C53H81KNO3+		0.210	20.647	20.647	0.000	7	0.850	1.135	1.135	3.250		818.587	553	9.220	875371868128183995	875367014693447553	875367014693447552	A15_95532	
