feature_id,phylum,matched,LipidMolec,LipidID,ClassKey,SubClassKey,Adduct,Grade,IDScore,tier,ls_ppm_diff,ls_rt_diff,n_samples_detected,n_candidates,IonFormula
A15_222479,Nematoda,False,,,,,,,,,,,,,
A15_OE25-1-ALL_42199,Evosea,True,DG(20:2_19:0),DG(20:2_19:0)+H,DG,diacyl,M+H,B,0.057605287022351,bronze,0.2263640821722879,0.0353954584192415,4.0,2.0,C42 H79 O5
A15_OE25-1-ALL_34289,Evosea,False,,,,,,,,,,,,,
A15_161404,Nematoda,False,,,,,,,,,,,,,
A15_OE25-1-ALL_41137,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_32201,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_37184,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_29908,Evosea,False,,,,,,,,,,,,,
A15_46806,Mollusca,False,,,,,,,,,,,,,
A15_24675,Mollusca,False,,,,,,,,,,,,,
A15_161931,Nematoda,False,,,,,,,,,,,,,
A15_148002,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_11471,Evosea,True,PS(18:2_18:2),PS(18:2_18:2)+H,PS,diacyl,M+H,A,0.2273115657997393,gold,0.4178647041527489,0.1099384567574333,3.0,5.0,C42 H75 N1 O10 P1
A15_OE25-1-ALL_2989,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_29928,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_31039,Evosea,True,PI(36:0),PI(36:0)+NH4,PI,diacyl,M+NH4,C,2.6782837129573185,silver,0.7446712883060973,0.0931490000000003,3.0,2.0,C45 H91 N1 O13 P1
A15_OE25-1-ALL_34431,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_6192,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_26252,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_41153,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_37140,Evosea,False,,,,,,,,,,,,,
A15_165577,Mollusca,False,,,,,,,,,,,,,
A15_161625,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_22198,Evosea,False,,,,,,,,,,,,,
A15_224123,Nematoda,False,,,,,,,,,,,,,
A15_OE25-1-ALL_13587,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_36962,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33191,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_22639,Evosea,False,,,,,,,,,,,,,
A15_202720,Mollusca,True,LPE(22:2),LPE(22:2)+H,LPE,monoacyl,M+H,C,1.2138201889256446,bronze,0.8622558842448185,0.2893492773809534,1.0,1.0,C27 H53 N1 O7 P1
A15_176118,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_21170,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_5858,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_27321,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_23487,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_22396,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_26393,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_24978,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_26002,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_31743,Evosea,True,LPE(18:2),LPE(18:2)+H,LPE,monoacyl,M+H,C,0.956292439708688,silver,0.7619076524088497,0.1441464999999979,2.0,1.0,C23 H45 N1 O7 P1
A15_OE25-1-ALL_6546,Evosea,False,,,,,,,,,,,,,
A15_125148,Chlorophyta,False,,,,,,,,,,,,,
A15_OE25-1-ALL_41595,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33198,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_29348,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_29396,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33086,Evosea,False,,,,,,,,,,,,,
A15_OE21-4-POS_229448,Thermoproteota,False,,,,,,,,,,,,,
A15_OE25-1-ALL_29927,Evosea,False,,,,,,,,,,,,,
A15_199488,Mollusca,True,LPE(22:2),LPE(22:2)+H,LPE,monoacyl,M+H,C,1.2138201889256446,bronze,0.630200956443745,0.0075492773809529,1.0,1.0,C27 H53 N1 O7 P1
A15_OE25-1-ALL_26738,Evosea,True,PI(34:0),PI(34:0)+NH4,PI,diacyl,M+NH4,C,1.3652590686169648,silver,0.5728541967226215,0.0243389615384614,3.0,1.0,C43 H87 N1 O13 P1
A15_205611,Mollusca,False,,,,,,,,,,,,,
A15_164615,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33032,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_6058,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_29253,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_31915,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_17289,Evosea,False,,,,,,,,,,,,,
A15_50463,Mollusca,False,,,,,,,,,,,,,
A15_131315,Chlorophyta,False,,,,,,,,,,,,,
A15_159334,Mollusca,False,,,,,,,,,,,,,
A15_195194,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_23516,Evosea,True,PG(16:0_20:4),PG(16:0_20:4)+H,PG,diacyl,M+H,A,0.1929598096344965,silver,4.704420932284188,0.0241939999999996,1.0,4.0,C42 H76 O10 P1
A15_OE25-1-ALL_37037,Evosea,True,PE(O-5:0_14:1),PE(O-5:0_14:1)+H,PE,alkyl-acyl,M+H,B,0.919213113534098,silver,0.3764239867180243,0.0426490000000008,1.0,1.0,C24 H49 N1 O7 P1
A15_OE25-1-ALL_39629,Evosea,False,,,,,,,,,,,,,
A15_159860,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_21111,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_23103,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_30348,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_41109,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_30372,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_34341,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_20191,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_32748,Evosea,True,PI(39:2),PI(39:2)+H,PI,diacyl,M+H,C,1.957135170016422,silver,0.3939073840403408,0.0711879999999993,3.0,1.0,C48 H90 O13 P1
A15_OE25-1-ALL_25985,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_36574,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_17306,Evosea,False,,,,,,,,,,,,,
