soil_id,feature_id,soil_pepmass,phylum,kingdom,max_cosine,confirmed
12128,NEG_59833,759.5214387081244,Actinomycetota,Bacteria,0.25542158133107074,False
12151,NEG_51142,714.5075403832466,Actinomycetota,Bacteria,0.8205004740413828,True
12166,NEG_4734,339.3270644972301,Arthropoda,Animalia,0.9406960702497579,True
12181,NEG_62576,772.5233583716677,Arthropoda,Animalia,0.07199664640410224,False
12180,NEG_78488,844.5332619078613,Chlorophyta,Plantae,0.890593609258804,True
12184,NEG_54752,733.5029646584712,Actinomycetota,Bacteria,0.6177860764462835,False
12191,NEG_49509,705.5084512198108,Mucoromycota,Fungi,0.19653072644935848,False
12234,NEG_47422,693.5085528471459,Actinomycetota,Bacteria,0.3134954993420033,False
12250,NEG_61455,767.546609067556,Basidiomycota,Fungi,0.0,False
12261,NEG_26053,552.5002730140156,Basidiomycota,Fungi,0.1020401936070803,False
12252,NEG_83639,870.5487536903914,Arthropoda,Animalia,0.886791715765385,True
12258,NEG_15394,459.348460245291,Streptophyta,Plantae,0.9456040917628933,True
12253,NEG_69293,802.5615088639839,Actinomycetota,Bacteria,0.7203560247868458,True
12312,NEG_77135,837.5486503991801,Actinomycetota,Bacteria,0.9350138758415009,True
12311,NEG_16320,467.44735048617366,Actinomycetota,Bacteria,0.9300846516644368,True
12345,NEG_48150,697.5211517889038,Ascomycota,Fungi,0.24527038950581498,False
12344,NEG_60811,764.5164179575008,Actinomycetota,Bacteria,0.8059564990749305,True
12353,NEG_28088,568.4953307552206,Actinomycetota,Bacteria,0.24486268422720148,False
12336,NEG_37708,633.4509026044141,Actinomycetota,Bacteria,0.0,False
12416,NEG_65596,786.5734714088553,Actinomycetota,Bacteria,0.5972404627919197,False
12367,NEG_57504,747.5235377626946,Actinomycetota,Bacteria,0.2187102448362619,False
12383,NEG_68121,797.5445463359564,Actinomycetota,Bacteria,0.5554368021853892,False
12408,NEG_53016,724.4836696319472,Arthropoda,Animalia,0.0,False
12390,NEG_34487,612.521900353379,Arthropoda,Animalia,0.791454802382428,True
12399,NEG_37132,629.5120200465482,Bacillota,Bacteria,0.0066314665850862745,False
12400,NEG_36788,627.4963192271854,Bacillota,Bacteria,0.9956815507488188,True
12406,NEG_27538,564.500117039994,Basidiomycota,Fungi,0.46178694606330256,False
12424,NEG_67643,795.5391213573171,Actinomycetota,Bacteria,0.09299000317000268,False
12426,NEG_96172,961.6114525609696,Actinomycetota,Bacteria,0.9088811103417991,True
12440,NEG_95000,949.6108267243148,Actinomycetota,Bacteria,0.0,False
12443,NEG_56461,742.5400889205074,Actinomycetota,Bacteria,0.6646259767949796,False
12453,NEG_49002,702.508561670404,Actinomycetota,Bacteria,0.9714088636905533,True
12452,NEG_60840,764.5460442086187,Pseudomonadota,Bacteria,0.5070060181875273,False
12444,NEG_26676,557.4584187000836,Basidiomycota,Fungi,0.6187880988731417,False
12458,NEG_39639,645.4508491781681,Actinomycetota,Bacteria,0.8092337572402427,True
12457,NEG_29163,576.4753534274931,Basidiomycota,Fungi,0.0,False
12470,NEG_59133,756.4804480704457,Discosea,Protozoa,0.66696162443216,False
12481,NEG_62761,773.4989311179719,Actinomycetota,Bacteria,0.2823951305239667,False
12486,NEG_81974,861.5508446418854,Actinomycetota,Bacteria,0.765428238349678,True
12488,NEG_98542,987.6272659085552,Streptophyta,Plantae,0.0,False
12509,NEG_60009,760.5151806683087,Arthropoda,Animalia,0.7302647227134533,True
12495,NEG_44623,676.4927148019655,Actinomycetota,Bacteria,0.6899948632788434,False
12522,NEG_24466,538.4850734956528,Basidiomycota,Fungi,0.03409297827232373,False
12507,NEG_66509,790.5617413557633,Actinomycetota,Bacteria,0.4740037051549929,False
12512,NEG_44785,677.4970131930439,Actinomycetota,Bacteria,0.7625905004703696,True
12526,NEG_46882,690.4980180578424,Actinomycetota,Bacteria,0.1837775737746258,False
12527,NEG_51148,714.508705609764,Actinomycetota,Bacteria,0.9907893808438321,True
12537,NEG_81365,858.5495155555928,Arthropoda,Animalia,0.8157034460367264,True
12542,NEG_68391,798.5748379869591,Actinomycetota,Bacteria,0.6768501649665369,False
12545,NEG_61888,769.5481061227732,Actinomycetota,Bacteria,0.7910074056576553,True
12553,NEG_72237,815.5647500234913,Actinomycetota,Bacteria,0.5549234059692677,False
12554,NEG_67674,795.5674716325561,Arthropoda,Animalia,0.7643160353484247,True
12569,NEG_35252,617.5118946204785,Basidiomycota,Fungi,0.9190031001015313,True
12577,NEG_29069,575.5383109834283,Arthropoda,Animalia,0.6809322109730059,False
12589,NEG_32670,600.5218440289917,Evosea,Protozoa,0.5763577685660906,False
12587,NEG_31528,592.5301591349855,Ascomycota,Fungi,0.0,False
12609,NEG_75151,828.5774467639549,Actinomycetota,Bacteria,0.9880505834792902,True
12606,NEG_54576,732.5186177152864,Pseudomonadota,Bacteria,0.34133349562991194,False
12624,NEG_59609,758.5338168355228,Evosea,Protozoa,0.4002774708762395,False
12618,NEG_115234,1497.0468479532324,Chlorophyta,Plantae,0.0,False
12636,NEG_72166,815.5069465102291,Chlorophyta,Plantae,0.8747823386953582,True
12638,NEG_116330,1522.057992882974,Actinomycetota,Bacteria,0.0,False
