feature_id,consensus_mz,consensus_rt,phylum,kingdom,discovery_method,biomarker_quality,biomarker_tier,annotation_tier,ms2_cached_class,ms2_cache_assigned,new_with_assigned_ms2_cache,new_without_current_annotation,processed_recovered_consensus_ms2_spectrum,processed_legacy_atlas,processed_harmonization_table,processed_ms2_classifier,processed_sirius_formula,processed_sirius_canopus,processed_dreams_atlas,processed_dreams_indval,processed_ms2lda_atlas,processed_ms2lda_indval,processed_fastmasst_atlas_summary,processed_fastmasst_atlas_cache,processed_fastmasst_indval_cache,processed_indval_ms2_spectrum,annotation_harmonized_annotation,annotation_ms2_assigned_class,annotation_sirius_formula,annotation_sirius_canopus,annotation_dreams_hit,annotation_fastmasst_hit,any_recovered_processing,any_recovered_annotation_evidence,needs_annotation_pipeline
A15_106330,724.571563,10.2092,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_106396,389.13367,10.4531,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_106507,953.564053,10.3296,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_106535,667.431095,10.3294,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_106541,448.377932,10.4595,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_106618,775.532905,10.128,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Bronze,Phosphatidylcholine/Sphingomyelin,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_106656,850.615769,10.4678,Chlorophyta,Viridiplantae,composite,Platinum,Platinum,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_106913,723.559256,10.4427,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,Unknown,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_107286,974.638828,10.1632,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_107482,761.583095,10.2687,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_107538,620.489201,10.2785,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_107675,416.373338,10.3749,Nematoda,Animalia,composite,Platinum,Platinum,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_107912,563.42876,10.3784,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_107998,494.4927,10.5329,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_108169,652.088241,10.4194,Nematoda,Animalia,composite,Platinum,Platinum,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_108266,966.634035,10.5787,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_108331,764.566253,10.389,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_108358,1127.616338,10.4093,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Bronze,Sphingolipid,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_108379,376.012352,10.4443,Nematoda,Animalia,composite,Platinum,Platinum,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_108380,607.043184,10.4443,Nematoda,Animalia,composite,Platinum,Platinum,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_108381,608.049498,10.4443,Nematoda,Animalia,composite,Platinum,Platinum,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_108382,610.046807,10.4443,Nematoda,Animalia,composite,Platinum,Platinum,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_108383,654.085782,10.4443,Nematoda,Animalia,composite,Platinum,Platinum,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_108495,951.64182,10.7379,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_108717,714.52945,10.2142,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Bronze,Phosphatidylcholine/Sphingomyelin,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_109196,950.63764,10.7647,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_109224,767.585077,10.5198,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_109292,766.581859,10.6037,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_109574,948.623794,10.5299,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,Unknown,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_109587,807.512531,10.6803,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_109968,726.586774,10.6752,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_109972,803.543765,10.6312,Chlorophyta,Viridiplantae,composite,Platinum,Platinum,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_110194,747.501144,10.7923,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_110258,690.52965,10.7596,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_110490,1114.651493,10.4821,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_110543,624.483905,10.4803,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_110703,728.545137,10.7632,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_110734,725.57523,10.8152,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Bronze,Phosphatidylcholine/Sphingomyelin,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_110754,545.4189,10.6886,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_110859,948.623894,10.9225,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,,,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
A15_111122,731.552508,10.7625,Streptophyta,Viridiplantae,indval_consensus,IndVal,CrossBatch_Consensus,Unidentified,Unknown,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
