feature_id,phylum,discovery_method,reference_batch,reference_scan,precursor_mz,has_usable_ms2,n_peaks_total,n_peaks_above_threshold,n_diagnostic_fragments,n_neutral_losses,n_diagnostic_total,assigned_class,assigned_subclass,classification_confidence,classification_reasoning,diagnostic_ions_detail,intensity_threshold_pct
A15_190507,Heterolobosea,indval_consensus,OE23-POS,190507,804.623884,True,40,11,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 88% → PC or SM,"fragment:184.0734(Phosphocholine_C5H13NO4P,88%)",5.0
A15_19053,Streptophyta,indval_consensus,OE23-POS,19053,667.275334,True,112,44,1,0,1,Phospholipid,PC/SM,Medium,Phosphocholine at 6% → PC or SM,"fragment:184.0734(Phosphocholine_C5H13NO4P,6%)",5.0
A15_190542,Streptophyta,indval_consensus,OE23-POS,190542,600.501358,True,66,45,1,0,1,Sterol,Sterol,Medium,Sterol dehydration fragments,"fragment:397.3825(Sitosterol_-H2O,100%)",5.0
A15_190635,Streptophyta,indval_consensus,OE23-POS,190635,593.455861,True,115,54,2,0,2,Sterol,Sterol,Medium,Sterol dehydration fragments,"fragment:383.3665(Campesterol_-H2O,10%); fragment:191.1799(Hopane_skeleton,5%)",5.0
A15_190639,Streptophyta,indval_consensus,OE23-POS,190639,872.686307,True,21,6,0,0,0,Unknown,Unknown,None,,,5.0
A15_190694,Streptophyta,indval_consensus,OE23-POS,190694,933.720788,True,16,16,0,0,0,Unknown,Unknown,None,,,5.0
A15_190752,Streptophyta,indval_consensus,OE23-POS,190752,612.503807,True,58,31,2,0,2,Sterol,Sterol,Medium,Sterol dehydration fragments,"fragment:369.3512(Cholesterol_-H2O,100%); fragment:369.3512(Hopanol,100%)",5.0
A15_190826,Streptophyta,indval_consensus,OE23-POS,190826,902.587623,True,16,16,0,0,0,Unknown,Unknown,None,,,5.0
A15_190831,Streptophyta,indval_consensus,OE23-POS,190831,649.586172,True,48,23,0,0,0,Unknown,Unknown,None,,,5.0
A15_190880,Streptophyta,indval_consensus,OE23-POS,190880,972.785701,True,23,1,0,0,0,Unknown,Unknown,None,,,5.0
A15_190897,Streptophyta,indval_consensus,OE23-POS,190897,1048.800609,True,70,55,3,0,3,Terpenoid,Terpenoid,Low,3 terpenoid fragments → possible terpenoid/isoprenoid,"fragment:81.0705(Monoterpene_frag,6%); fragment:95.0858(Methylcyclohexenyl,6%); fragment:121.1013(Sesquiterpene_frag2,8%)",5.0
A15_191371,Streptophyta,indval_consensus,OE23-POS,191371,888.570031,True,75,14,0,0,0,Unknown,Unknown,None,,,5.0
A15_191553,Streptophyta,indval_consensus,OE23-POS,191553,1024.742078,True,115,22,0,0,0,Unknown,Unknown,None,,,5.0
A15_191577,Streptophyta,indval_consensus,OE23-POS,191577,687.605305,True,53,37,3,0,3,Terpenoid,Terpenoid,Low,3 terpenoid fragments → possible terpenoid/isoprenoid,"fragment:81.0705(Monoterpene_frag,7%); fragment:95.0860(Methylcyclohexenyl,6%); fragment:109.1017(Sesquiterpene_frag,9%)",5.0
A15_191667,Streptophyta,indval_consensus,OE23-POS,191667,747.60764,True,125,8,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 25% → PC or SM,"fragment:184.0733(Phosphocholine_C5H13NO4P,25%)",5.0
A15_191748,Streptophyta,indval_consensus,OE23-POS,191748,991.745868,True,32,9,0,0,0,Unknown,Unknown,None,,,5.0
A15_191790,Streptophyta,indval_consensus,OE23-POS,191790,908.537054,True,54,18,0,0,0,Unknown,Unknown,None,,,5.0
A15_191858,Streptophyta,indval_consensus,OE23-POS,191858,1759.100654,True,14,9,0,0,0,Unknown,Unknown,None,,,5.0
A15_191863,Streptophyta,indval_consensus,OE23-POS,191863,883.535379,True,102,2,0,0,0,Unknown,Unknown,None,,,5.0
A15_191925,Streptophyta,indval_consensus,OE23-POS,191925,901.545752,True,230,21,0,0,0,Unknown,Unknown,None,,,5.0
A15_192158,Streptophyta,indval_consensus,OE23-POS,192158,889.574328,True,62,20,0,0,0,Unknown,Unknown,None,,,5.0
A15_192189,Streptophyta,indval_consensus,OE23-POS,192189,874.555961,True,28,13,0,0,0,Unknown,Unknown,None,,,5.0
A15_192190,Streptophyta,indval_consensus,OE23-POS,192190,919.593064,True,58,40,0,0,0,Unknown,Unknown,None,,,5.0
A15_192451,Nematoda,composite,OE23-POS,192451,1222.019819,True,12,3,0,0,0,Unknown,Unknown,None,,,5.0
A15_19250,Streptophyta,indval_consensus,OE23-POS,19250,409.272876,True,90,36,10,0,10,Terpenoid,Terpenoid,Medium,10 terpenoid fragments → terpenoid/isoprenoid,"fragment:81.0704(Monoterpene_frag,20%); fragment:93.0701(Toluenium,20%); fragment:95.0859(Methylcyclohexenyl,15%); fragment:105.0702(Xylene_cation,22%); fragment:107.0860(Dimethylcyclohexenyl,11%); fragment:109.1015(Sesquiterpene_frag,100%); fragment:119.0857(C9H11+,18%); fragment:121.1013(Sesquiterpene_frag2,9%); fragment:133.1013(Diterpene_frag,13%); fragment:147.1170(C11H15+,14%)",5.0
A15_192536,Streptophyta,indval_consensus,OE23-POS,192536,921.757941,True,108,56,0,0,0,Unknown,Unknown,None,,,5.0
A15_192666,Chlorophyta,composite,OE23-POS,192666,746.537276,True,18,6,0,0,0,Unknown,Unknown,None,,,5.0
A15_19268,Streptophyta,indval_consensus,OE23-POS,19268,367.262812,True,96,90,15,0,15,Terpenoid,Terpenoid,Medium,15 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,49%); fragment:81.0704(Monoterpene_frag,72%); fragment:93.0703(Toluenium,85%); fragment:95.0860(Methylcyclohexenyl,71%); fragment:105.0702(Xylene_cation,58%); fragment:107.0858(Dimethylcyclohexenyl,81%); fragment:109.1014(Sesquiterpene_frag,91%); fragment:119.0857(C9H11+,100%); fragment:121.1015(Sesquiterpene_frag2,96%); fragment:123.1171(Sesquiterpene_frag3,22%); fragment:133.1011(Diterpene_frag,62%); fragment:135.1168(Diterpene_frag2,36%); fragment:147.1169(C11H15+,27%); fragment:161.1327(C12H17+,11%); fragment:175.1482(C13H19+,20%)",5.0
A15_192726,Streptophyta,indval_consensus,OE23-POS,192726,1770.097307,True,19,4,0,0,0,Unknown,Unknown,None,,,5.0
A15_192727,Streptophyta,indval_consensus,OE23-POS,192727,1771.100237,True,92,6,0,0,0,Unknown,Unknown,None,,,5.0
