mode,phylum_1,phylum_2,group_1,group_2,rank_1,rank_2,n_detected_1,n_detected_2,n_shared,frac_of_smaller,jaccard
POS,Ascomycota,Basidiomycota,Fungi,Fungi,10,11,36490,33937,31226,0.9201,0.7966
POS,Ascomycota,Chlorophyta,Fungi,Viridiplantae,10,12,36490,33747,28054,0.8313,0.6651
POS,Ascomycota,Streptophyta,Fungi,Viridiplantae,10,13,36490,40012,34064,0.9335,0.8027
POS,Ascomycota,Arthropoda,Fungi,Animalia,10,14,36490,41348,33237,0.9109,0.7452
POS,Ascomycota,Mollusca,Fungi,Animalia,10,15,36490,20031,16926,0.845,0.4275
POS,Ascomycota,Nematoda,Fungi,Animalia,10,16,36490,20087,16126,0.8028,0.3987
POS,Basidiomycota,Chlorophyta,Fungi,Viridiplantae,11,12,33937,33747,25679,0.7609,0.6113
POS,Basidiomycota,Streptophyta,Fungi,Viridiplantae,11,13,33937,40012,31906,0.9402,0.7589
POS,Basidiomycota,Arthropoda,Fungi,Animalia,11,14,33937,41348,31406,0.9254,0.7157
POS,Basidiomycota,Mollusca,Fungi,Animalia,11,15,33937,20031,16047,0.8011,0.4232
POS,Basidiomycota,Nematoda,Fungi,Animalia,11,16,33937,20087,14887,0.7411,0.3804
POS,Chlorophyta,Streptophyta,Viridiplantae,Viridiplantae,12,13,33747,40012,31242,0.9258,0.7348
POS,Chlorophyta,Arthropoda,Viridiplantae,Animalia,12,14,33747,41348,30460,0.9026,0.6824
POS,Chlorophyta,Mollusca,Viridiplantae,Animalia,12,15,33747,20031,15569,0.7772,0.4075
POS,Chlorophyta,Nematoda,Viridiplantae,Animalia,12,16,33747,20087,15122,0.7528,0.3906
POS,Streptophyta,Arthropoda,Viridiplantae,Animalia,13,14,40012,41348,36386,0.9094,0.809
POS,Streptophyta,Mollusca,Viridiplantae,Animalia,13,15,40012,20031,17989,0.8981,0.4278
POS,Streptophyta,Nematoda,Viridiplantae,Animalia,13,16,40012,20087,17178,0.8552,0.4002
POS,Arthropoda,Mollusca,Animalia,Animalia,14,15,41348,20031,19562,0.9766,0.4678
POS,Arthropoda,Nematoda,Animalia,Animalia,14,16,41348,20087,19027,0.9472,0.4487
POS,Mollusca,Nematoda,Animalia,Animalia,15,16,20031,20087,11971,0.5976,0.4253
NEG,Actinomycetota,Bacillota,Bacteria,Bacteria,1,2,6349,3008,1981,0.6586,0.2686
NEG,Actinomycetota,Pseudomonadota,Bacteria,Bacteria,1,3,6349,2443,1613,0.6603,0.2247
NEG,Actinomycetota,Methanobacteriota,Bacteria,Archaea,1,4,6349,1843,1026,0.5567,0.1432
NEG,Actinomycetota,Thermoproteota,Bacteria,Archaea,1,5,6349,413,236,0.5714,0.0362
NEG,Actinomycetota,Discosea,Bacteria,Protists,1,6,6349,1975,977,0.4947,0.133
NEG,Actinomycetota,Evosea,Bacteria,Protists,1,7,6349,1521,784,0.5155,0.1106
NEG,Actinomycetota,Heterolobosea,Bacteria,Protists,1,8,6349,992,686,0.6915,0.1031
NEG,Actinomycetota,Mucoromycota,Bacteria,Fungi,1,9,6349,3143,1914,0.609,0.2526
NEG,Actinomycetota,Ascomycota,Bacteria,Fungi,1,10,6349,10640,5203,0.8195,0.4415
NEG,Actinomycetota,Basidiomycota,Bacteria,Fungi,1,11,6349,9212,4181,0.6585,0.3674
NEG,Actinomycetota,Chlorophyta,Bacteria,Viridiplantae,1,12,6349,8605,3542,0.5579,0.3104
NEG,Actinomycetota,Streptophyta,Bacteria,Viridiplantae,1,13,6349,11160,4595,0.7237,0.3558
NEG,Actinomycetota,Arthropoda,Bacteria,Animalia,1,14,6349,11033,4292,0.676,0.3279
NEG,Actinomycetota,Mollusca,Bacteria,Animalia,1,15,6349,5362,2282,0.4256,0.242
NEG,Actinomycetota,Nematoda,Bacteria,Animalia,1,16,6349,4168,2091,0.5017,0.2482
NEG,Bacillota,Pseudomonadota,Bacteria,Bacteria,2,3,3008,2443,1166,0.4773,0.2721
NEG,Bacillota,Methanobacteriota,Bacteria,Archaea,2,4,3008,1843,547,0.2968,0.1271
NEG,Bacillota,Thermoproteota,Bacteria,Archaea,2,5,3008,413,182,0.4407,0.0562
NEG,Bacillota,Discosea,Bacteria,Protists,2,6,3008,1975,473,0.2395,0.1049
NEG,Bacillota,Evosea,Bacteria,Protists,2,7,3008,1521,426,0.2801,0.1038
NEG,Bacillota,Heterolobosea,Bacteria,Protists,2,8,3008,992,146,0.1472,0.0379
NEG,Bacillota,Mucoromycota,Bacteria,Fungi,2,9,3008,3143,470,0.1562,0.0827
NEG,Bacillota,Ascomycota,Bacteria,Fungi,2,10,3008,10640,1901,0.632,0.1618
NEG,Bacillota,Basidiomycota,Bacteria,Fungi,2,11,3008,9212,1579,0.5249,0.1484
NEG,Bacillota,Chlorophyta,Bacteria,Viridiplantae,2,12,3008,8605,1442,0.4794,0.1418
NEG,Bacillota,Streptophyta,Bacteria,Viridiplantae,2,13,3008,11160,2053,0.6825,0.1695
NEG,Bacillota,Arthropoda,Bacteria,Animalia,2,14,3008,11033,1654,0.5499,0.1335
NEG,Bacillota,Mollusca,Bacteria,Animalia,2,15,3008,5362,847,0.2816,0.1126
NEG,Bacillota,Nematoda,Bacteria,Animalia,2,16,3008,4168,1023,0.3401,0.1663
NEG,Pseudomonadota,Methanobacteriota,Bacteria,Archaea,3,4,2443,1843,444,0.2409,0.1156
