feature_id,consensus_mz,consensus_rt,n_batches,phylum,kingdom,target_detected,bg_detected,detection_rate,specificity,exclusivity,log2fc,mean_target,mean_background,batch_confirm,batch_rate,composite_score,n_target_samples,n_target_batches,biomarker_quality,biomarker_tier
A15_181266,1155.97067,16.9172,5,Bacillota,Bacteria,18,15,0.72,0.5455,0.8921,3.81,1325390.6,93594.9,2,0.6667,60.9,25,3,Silver,Silver
A15_110791,500.446023,10.8771,4,Bacillota,Bacteria,19,12,0.76,0.6129,0.9137,2.181,354658.1,77415.4,2,0.6667,60.89,25,3,Silver,Silver
A15_148508,713.494254,14.2065,3,Bacillota,Bacteria,20,19,0.8,0.5128,0.8633,3.404,1276978.8,119713.5,2,0.6667,60.83,25,3,Silver,Silver
A15_173680,763.673046,16.4494,3,Bacillota,Bacteria,18,11,0.72,0.6207,0.9209,2.464,327036.4,58439.7,2,0.6667,60.76,25,3,Silver,Silver
A15_136708,285.24183,13.1552,3,Bacillota,Bacteria,19,15,0.76,0.5588,0.8921,3.029,314490.7,37655.5,2,0.6667,60.74,25,3,Silver,Silver
A15_106401,465.408981,10.1167,4,Bacillota,Bacteria,19,18,0.76,0.5135,0.8705,3.794,1472889.3,105252.7,2,0.6667,60.7,25,3,Silver,Silver
A15_147807,732.518322,14.0913,4,Bacillota,Bacteria,18,13,0.72,0.5806,0.9065,3.085,468833.8,54386.8,2,0.6667,60.65,25,3,Silver,Silver
A15_161929,701.408666,15.4421,5,Bacillota,Bacteria,22,40,0.88,0.3548,0.7122,2.936,1700369.6,221309.6,3,1.0,60.64,25,3,Silver,Silver
A15_169302,694.495646,15.8816,5,Bacillota,Bacteria,25,54,1.0,0.3165,0.6115,2.497,1153689.0,203544.4,3,1.0,60.6,25,3,Silver,Silver
A15_148409,540.497541,14.1561,3,Bacillota,Bacteria,21,18,0.84,0.5385,0.8705,2.345,398319.8,77594.3,2,0.6667,60.55,25,3,Silver,Silver
A15_130088,709.485407,12.7071,3,Bacillota,Bacteria,16,7,0.64,0.6957,0.9496,2.045,268443.0,64311.4,2,0.6667,60.46,25,3,Silver,Silver
A15_11632,299.257689,2.3758,4,Bacillota,Bacteria,21,35,0.84,0.375,0.7482,2.838,926501.3,128695.4,3,1.0,60.41,25,3,Silver,Silver
A15_127012,648.459523,12.4719,4,Bacillota,Bacteria,21,32,0.84,0.3962,0.7698,2.357,1429407.1,278182.9,3,1.0,60.3,25,3,Silver,Silver
A15_224714,754.692339,22.4526,4,Bacillota,Bacteria,23,47,0.92,0.3286,0.6619,2.86,317771.7,42907.8,3,1.0,60.2,25,3,Silver,Silver
A15_130746,521.455954,12.6721,4,Bacillota,Bacteria,23,35,0.92,0.3966,0.7482,3.886,7233401.6,488494.0,2,0.6667,60.15,25,3,Silver,Silver
A15_208379,798.712529,19.4876,4,Bacillota,Bacteria,19,14,0.76,0.5758,0.8993,2.419,664569.8,123432.1,2,0.6667,60.1,25,3,Silver,Silver
A15_166487,683.489022,15.7435,4,Bacillota,Bacteria,25,52,1.0,0.3247,0.6259,2.003,878986.6,218614.0,3,1.0,60.0,25,3,Silver,Silver
A15_152697,830.565765,14.4241,6,Discosea,Protists,7,43,1.0,0.14,0.7261,8.568,81963183.0,214917.5,2,1.0,68.6,7,2,Silver,Silver
A15_158178,806.560173,14.8908,3,Discosea,Protists,5,24,0.7143,0.1724,0.8471,9.632,145419712.4,182250.3,2,1.0,65.77,7,2,Silver,Silver
